rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC2213356,Complementation of Lymphotoxin α Knockout Mice with Tumor Necrosis Factor–expressing Transgenes Rectifies Defective Splenic Structure and Function,success,yes,"Compared with background-matched wild-type control mice, LṮalpha knockout mice show severely reduced accumulation of TNF protein in both sera and macrophage exudates (Fig. 4), indicating that in addition to the LṮalpha null mutation, this strain of mice may show further complications due to inherent defects in the neighboring TNF gene expression.",Tnf,
2,PMC3654183,Antagonism of the histamine H4 receptor reduces LPS-induced TNF production in vivo,success,yes,"The TNF mRNA analysis showed that the major source of the cytokine was the liver and not blood, and that the H4R antagonist only reduced the expression levels in the liver.",Tnf,
3,PMC6990626,Transmembrane TNFα-Expressed Macrophage Membrane-Coated Chitosan Nanoparticles as Cancer Therapeutics,success,yes,"The gel image (Figure 2C) revealed a distinct band corresponding to transmembrane TNFα around 750 bp in 100 ng/mL LPS-treated macrophages, while there was no amplification in the untreated ones.",Tnf,
4,PMC2119110,Macrophage priming and lipopolysaccharide-triggered release of tumor necrosis factor alpha during graft-versus-host disease,success,yes,"In acute GVH-reactive mice, injection of LPS 7 d after transplantation induced serum TNF levels of 14,759 U/ml.",Tnf,
5,PMC2190891,Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages,success,yes,L3: Preculture of thioglycollate-elicited C3HeB/FeJ mouse peritoneal macrophages in vitro with subthreshold stimulatory concentrations of lipopolysaccharide (LPS) can induce hyporesponsiveness (desensitization) to both tumor necrosis factor alpha (TNF-alpha) and nitric oxide (NO) production when these cells are subsequently stimulated with 100 ng/ml of LPS.,Tnf;tumor necrosis factor;TNF-alpha,
6,PMC2190998,"Extinction of the tumor necrosis factor locus, and of genes encoding the lipopolysaccharide signaling pathway",success,yes,Both LPS and cycloheximide readily induced TNF gene expression in RAW 264.7 cells (Fig. 2).,Tnf,
7,PMC6234144,LPS‐stimulated NF‐κB p65 dynamic response marks the initiation of TNF expression and transition to IL‐10 expression in RAW 264.7 macrophages,success,yes,"After 1-h of LPS stimulation, TNF̓α mRNA expression increased (7.0-fold) significantly (Fig. 3A).",Tnf,
8,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,yes,"Notably, the percentage of TNF-positive BMDMs peaked at 4h post stimulation, demonstrating a faster TNF response in BMDMs in comparison to RAW264.7 cells.",Tnf,
9,PMC4575053,AS-703026 Inhibits LPS-Induced TNFα Production through MEK/ERK Dependent and Independent Mechanisms,success,yes,"In the current study, our results demonstrated that AS-703026, a novel MEK/ERK inhibitor, suppressed LPS-induced TNFΑ mRNA expression and protein secretion in RAW 264.7 murine macrophages, and in murine bone marrow-derived macrophages (BMDMs).",Tnf,
10,PMC10949775,Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,success,yes,"LPS rapidly increased mRNA levels of TNF by 12, 71, 82, 196, 311, 113 and 215 fold after 5, 10, 20, 50, 100, 500 and 1000 ng/mL treatment for 2 h, respectively (Fig. 3A).",Tnf,
