title,authors,id,source,date,url,abstract
Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,Rachel Young; Stephen J. Bush; Lucas Lefevre; Mary E. B. McCulloch; Zofia M. Lisowski; Charity Muriu...,Matched: RNA-seq analysis of genes involved in arginine metabolism,cat /papers/PMC6245571/content.lines --lines 33-34,2018-11-05,https://doi.org/10.4049/immunohorizons.1700073,"This study analyzed gene expression related to nitric oxide production in macrophages from various species. Macrophage responses to LPS stimulation, including NOS2 induction, are not conserved across species and may be influenced by retrotransposon insertions."
FOCIS abstract supplement,Gail Bast,PMC7128890,"Clinical Immunology (Orlando, Fla.)",2005-04-19,https://doi.org/10.1016/j.clim.2005.03.007,
The NF-κB-SLC7A11 axis regulates ferroptosis sensitivity in inflammatory macrophages,Mengjie Yang; Xiaowei Chen; Xiran Hu; Hexiang Li; Hao Huang; Yingzhe Fang; Jue Jiang; Hudan Liu; Yua...,Matched: RELA directly activates Slc7a11 transcription in M1 macrophages,cat /papers/PMC12268560/content.lines --lines 32-33,2025-06-11,https://doi.org/10.1016/j.cellin.2025.100257,"This study investigated the mechanisms behind M1 macrophage ferroptosis resistance. It found that the NF-κB-SLC7A11 pathway increases cystine uptake and glutathione synthesis, making M1 macrophages resistant to ferroptosis."
Characterisation of genes differentially expressed in macrophages by virulent and attenuated Mycobacterium tuberculosisthrough RNA-Seq analysis,Junghwan Lee; Sung-Gwon Lee; Kee K. Kim; Yun-Ji Lim; Ji-Ae Choi; Soo-Na Cho; Chungoo Park; Chang-Hwa...,Matched: Discussion,cat /papers/PMC6411972/content.lines --lines 48-49,2019-03-11,https://doi.org/10.1038/s41598-019-40814-0,Macrophages infected with virulent or attenuated *Mycobacterium tuberculosis* were analyzed using RNA-Seq. Increased expression of SLC7A2 in response to the attenuated strain was found to be important for controlling intracellular bacterial survival.
Amino acid transporters within the solute carrier superfamily: Underappreciated proteins and novel opportunities for cancer therapy,Kiavash Hushmandi; Behzad Einollahi; Seyed Hassan Saadat; E. Hui Clarissa Lee; Marzieh Ramezani Fara...,Matched: SLC7A2,cat /papers/PMC11112377/content.lines --lines 42-43,2024-05-03,https://doi.org/10.1016/j.molmet.2024.101952,"This review examines amino acid transporters (SLCs) and their role in cancer progression. Dysregulated SLCs are crucial for tumor growth, offering potential therapeutic targets."
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,Jun Liang; Yingli Cai; Yiming Shao,Matched: LPS Induces M1 Polarization and Inflammatory Response in RAW264.7 Macr,cat /papers/PMC13199726/content.lines --lines 100-101,2026-05-20,https://doi.org/10.2147/IDR.S590998,"Gram-negative bacterial infection is a major cause of severe inflammatory disorders and cellular damage, with lipopolysaccharide (LPS) as a key pathogenic trigger. Macrophages are central players in L"
Cationic Amino Acid Transporter 2 Enhances Innate Immunity during Helicobacter pylori Infection,Daniel P. Barry; Mohammad Asim; Brooks P. Scull; M. Blanca Piazuelo; Thibaut de Sablet; Nuruddeen D....,Matched: Discussion,cat /papers/PMC3237590/content.lines --lines 62,2011-12-14,https://doi.org/10.1371/journal.pone.0029046,"Cationic amino acid transporter 2 (CAT2) was studied in mice infected with *Helicobacter pylori*. CAT2 enhances innate immunity, as its absence leads to increased bacterial colonization and altered immune responses."
l-Arginine Uptake by Cationic Amino Acid Transporter Promotes Intra-Macrophage Survival of Leishmania donovani by Enhancing Arginase-Mediated Polyamine Synthesis,Abhishek Mandal; Sushmita Das; Ajay Kumar; Saptarshi Roy; Sudha Verma; Ayan Kumar Ghosh; Ruby Singh;...,Matched: Leishmania Infection Upregulates l-Arginine Transport through CAT-2 Tr,cat /papers/PMC5526900/content.lines --lines 57-60,2017-07-26,https://doi.org/10.3389/fimmu.2017.00839,"This study investigated how *Leishmania donovani* survives inside macrophages. Parasite survival is enhanced by increased *l*-arginine uptake via CAT-2, which boosts arginase-mediated polyamine synthesis."
“Of Mice and Men”: Arginine Metabolism in Macrophages,Anita C. Thomas; Joshua T. Mattila,PMC4188127,Frontiers in Immunology,2014-10-07,https://doi.org/10.3389/fimmu.2014.00479,
Sulfur metabolic response in macrophage limits excessive inflammatory response by creating a negative feedback loop,Haruna Takeda; Shohei Murakami; Zun Liu; Tomohiro Sawa; Masatomo Takahashi; Yoshihiro Izumi; Takeshi...,Matched: LPS treatment of macrophages,cat /papers/PMC10412850/content.lines --lines 26,2023-07-29,https://doi.org/10.1016/j.redox.2023.102834,This study investigated sulfur metabolism in macrophages during inflammation. Increased cysteine uptake and supersulfide production by macrophages limit excessive inflammatory responses through a negative feedback loop.
Slc7a11‐Mediated Cystine/Glutamate Antiport Reprograms Macrophage Polarization and Ameliorates Atherosclerosis,Shuaishuai Zhou; Yongting Luo; Junjie Luo; Siyue Li; Baixue Liu; Wen Shao; Jin Tao; Jingyi Qi; Chang...,Matched: Slc7a11 Overexpression in Macrophages Inhibits M1 Polarization and Pro,cat /papers/PMC12950507/content.lines --lines 25-26,2026-03-01,https://doi.org/10.1002/mco2.70646,"Atherosclerotic cardiovascular diseases (ASCVDs) remain the primary cause of morbidity and mortality. Macrophages are involved in the progression and regression of atherosclerosis, and macrophage amin"
In Lysinuric Protein Intolerance system y+L activity is defective in monocytes and in GM-CSF-differentiated macrophages,Amelia Barilli; Bianca Maria Rotoli; Rossana Visigalli; Ovidio Bussolati; Gian C Gazzola; Zamir Kadi...,"Matched: Expression of mRNA for system y+L transporters in monocytes, alveolar",cat /papers/PMC2999609/content.lines --lines 56-57,2010-11-26,https://doi.org/10.1186/1750-1172-5-32,"System y+L amino acid transport activity is defective in monocytes and macrophages from a Lysinuric Protein Intolerance patient. This defect is compensated in fibroblasts by another transporter, and GM-CSF therapy improved patient condition."
A new metabolomic assay to examine inflammation and redox pathways following LPS challenge,Jung H Suh; Robert Y Kim; Daniel S Lee,Matched: LPS-dependent changes in the RAW macrophage amino acid profile,cat /papers/PMC3507808/content.lines --lines 39-43,2012-10-04,https://doi.org/10.1186/1476-9255-9-37,"A new LC-MS/MS assay simultaneously measures arginine and sulfur amino acid metabolism. This assay revealed that the Cit+Orn/Arg+Asp ratio is an early, sensitive biomarker of LPS-induced macrophage activation."
Frontline Science: LPS‐inducible SLC30A1 drives human macrophage‐mediated zinc toxicity against intracellular Escherichia coli,Claudia J. Stocks; Jessica B. von Pein; James E.B. Curson; James Rae; Minh‐Duy Phan; Darren Foo; Nil...,Matched: Zinc transporter SLC30A1 is constitutively expressed and further upreg,cat /papers/PMC7891337/content.lines --lines 41-42,2020-05-22,https://doi.org/10.1002/JLB.2HI0420-160R,"LPS stimulation upregulates SLC30A1 in human macrophages, driving zinc toxicity against intracellular *E. coli*. Ectopic SLC30A1 expression is sufficient to induce this antimicrobial pathway."
Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,Stephen J. Bush; Mary E. B. McCulloch; Zofia M. Lisowski; Charity Muriuki; Emily L. Clark; Rachel Yo...,Matched: Response of Sheep Macrophages to LPS,cat /papers/PMC7386301/content.lines --lines 36-37,2020-07-21,https://doi.org/10.3389/fcell.2020.00661,"This study analyzed the transcriptional response of sheep macrophages to lipopolysaccharide (LPS) and compared it to other mammalian species. A conserved transcriptional network was found, but large animals and rodents differed in their metabolic responses to LPS."
Cationic Amino Acid Transporter-2 Regulates Immunity by Modulating Arginase Activity,Robert W. Thompson; John T. Pesce; Thirumalai Ramalingam; Mark S. Wilson; Sandy White; Allen W. Chee...,Matched: Discussion,cat /papers/PMC2265428/content.lines --lines 62-63,2008-03-14,https://doi.org/10.1371/journal.ppat.1000023,"This study investigated the role of cationic amino acid transporter-2 (CAT2) in immune responses to infection. CAT2 deficiency impairs nitric oxide production in Th1 responses and increases arginase activity in Th2 responses, leading to altered disease susceptibility and pathology."
Downregulation of SLC7A7 Triggers an Inflammatory Phenotype in Human Macrophages and Airway Epithelial Cells,Bianca Maria Rotoli; Amelia Barilli; Rossana Visigalli; Filippo Ingoglia; Marco Milioli; Maria Di La...,Matched: Introduction,cat /papers/PMC5868322/content.lines --lines 13-14,2018-03-19,https://doi.org/10.3389/fimmu.2018.00508,"SLC7A7 was silenced in macrophages and airway cells to study its role in lysinuric protein intolerance. Downregulation of SLC7A7 induces an inflammatory phenotype, independent of arginine levels, by activating NFκB."
