rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC12357613,Downregulated RSAD2 Attenuates the Apoptosis of LPS-Stimulated RAW264.7 via NF-κB Signaling Pathway,success,yes,yes,Western blot showed that the protein expression level of RSAD2 was significantly upregulated in the LPS-induced RAW264.7 cells (Figure 1E and F).,"To validate the bioinformatics analysis results, RAW264.7 cells were stimulated with LPS, and the genes with the most significant logFC differences identified in the sequencing data were selected for qPCR validation.",Rsad2;RSAD2,LPS,
2,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
3,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
4,PMC11970327,RSAD2: A pathogenic interferon-stimulated gene at the maternal-fetal interface of patients with systemic lupus erythematosus,success,no,no,,,,,
5,PMC7657527,Lipopolysaccharide-induced innate immune responses are exacerbated by Prohibitin 1 deficiency and mitigated by S-adenosylmethionine in murine macrophages,success,no,no,,,,,
6,PMC12580130,LncRNA NRIR inhibits osteogenesis by promoting macrophage M1 polarization through RSAD2/NF-κB axis in peri-implantitis,success,no,no,,,,,
7,PMC4951018,Full Spectrum of LPS Activation in Alveolar Macrophages of Healthy Volunteers by Whole Transcriptomic Profiling,success,no,no,,,,,
8,PMC8289208,Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,success,no,no,,,,,
9,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
10,PMC7379312,Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,success,no,no,,,,,
11,PMC12346749,Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts,success,no,no,,,,,
12,PMC11001978,RSAD2 is abundant in atherosclerotic plaques and promotes interferon-induced CXCR3-chemokines in human smooth muscle cells,success,no,no,,,,,
13,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,success,no,no,,,,,
14,PMC6070531,Rsad2 is necessary for mouse dendritic cell maturation via the IRF7-mediated signaling pathway,success,yes,yes,"L21: The results showed that Rsad2 was expressed by mDCs (Fig. 1a, b, respectively). In addition, western blotting showed that mDCs expressed more Rsad2 protein than imDCs (Fig. 1c).",L21: These cells were treated with LPS to generate mDCs and mRNA was extracted for reverse transcriptase (RT)-PCR and real-time PCR.,Rsad2;RSAD2,LPS,
15,PMC4770305,Intracellular NAD+ levels are associated with LPS-induced TNF-α release in pro-inflammatory macrophages,success,no,no,,,,,
16,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
17,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,no,,,,,
18,PMC4905593,Expression Profiling of LPS Responsive miRNA in Primary Human Macrophages,success,no,no,,,,,
19,PMC3494132,A potential role for macrophages in maintaining lipopolysaccharide-induced subacute airway inflammation in rats,success,no,no,,,,,
20,PMC8226254,P23 Acts as Functional RBP in the Macrophage Inflammation Response,success,no,no,,,,,
21,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
22,PMC3952185,Histone acetyltransferase and DNA methyltransferase expression in response to LPS stimulation,success,no,no,,,,,
23,PMC3507808,A new metabolomic assay to examine inflammation and redox pathways following LPS challenge,success,no,no,,,,,
24,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,no,no,,,,,
25,PMC6909656,Role and mechanism of miR-144-5p in LPS-induced macrophages,success,no,no,,,,,
