title,authors,id,source,date,url,abstract
LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,"Andreas Hald, Birgitte Rønø, Leif R. Lund, Kristoffer L. Egerod",Matched: Abstract,cat /papers/PMC3317238/content.lines --lines 1-8,2012-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3317238/,"LPS stimulation of murine macrophages was studied for its effect on extracellular protease and inhibitor gene expression. LPS differentially regulates matrix metalloproteinases and serine proteases, impacting extracellular matrix degradation."
Comparative Analyses of Transcriptional Profiles in Mouse Organs Using a Pneumonic Plague Model after Infection with Wild-Type Yersinia pestis CO92 and Its Braun Lipoprotein Mutant,Cristi L. Galindo; Scott T. Moen; Elena V. Kozlova; Jian Sha; Harold R. Garner; Stacy L. Agar; Ashok...,Matched: Supplementary Material,cat /papers/PMC2817383/content.lines --lines 1067-1070,2010-01-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2817383/,"Transcriptional profiles of mouse organs were analyzed after infection with wild-type and a mutant *Yersinia pestis*. The absence of Braun lipoprotein altered host cell signaling, affecting immune response and apoptosis."
Regulation of Neutrophil Serine Proteases by Intracellular Serpins,Charaf Benarafa,Matched: Intracellular Clade B Serpins,cat /papers/PMC7123840/content.lines --lines 27-29,2015-07-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123840/,"This paper investigates how intracellular serpins regulate neutrophil serine proteases. It finds that SERPINB1 intrinsically controls cathepsin G and proteinase-3, influencing neutrophil death and homeostasis."
Author Correction: Tissue-resident macrophage survival depends on mitochondrial function regulated by SerpinB2 in chronic inflammation,Sathish Babu Vasamsetti; Samreen Sadaf; Mohammad A. Uddin; Jixing Shen; Ebin Johny; Awishi Mondal; J...,PMC13090332,PMC,2026-04-17,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13090332/,
Transcriptomic analysis reveals that RasGEF1b deletion alters basal and LPS-induced expression of genes involved in chemotaxis and cytokine responses in macrophages,Heliana B. Fernandes; Isadora Mafra de Oliveira; Thomas S. Postler; Sérgio Q. Lima; Cícera A. C. San...,Matched: Ectopic expression of RasGEF1b results in the transcriptional activati,cat /papers/PMC10638313/content.lines --lines 56-57,2023-11-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10638313/,RasGEF1b deletion in macrophages was studied using transcriptomics. Its absence alters basal and LPS-induced expression of genes involved in chemotaxis and cytokine responses.
SerpinB2 inhibits migration and promotes a resolution phase signature in large peritoneal macrophages,Wayne A. Schroder; Thiago D. Hirata; Thuy T. Le; Joy Gardner; Glen M. Boyle; Jonathan Ellis; Eri Nak...,Matched: Peritoneal macrophage populations in serpinB2−/− and serpinB2+/+ mice,cat /papers/PMC6712035/content.lines --lines 23-24,2019-08-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6712035/,"SerpinB2 was studied in large peritoneal macrophages, revealing its role in inhibiting cell migration. Its expression promotes a resolution phase signature by modulating migration-associated genes."
Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,Jing Sun; Samuel Katz; Bhaskar Dutta; Ze Wang; Iain D.C. Fraser,Matched: Screening reagents,cat /papers/PMC5332009/content.lines --lines 34-37,2017-03-01,https://doi.org/10.1038/sdata.2017.7,A genome-wide siRNA screen identified genes regulating the LPS-induced TNF-α response in human macrophages. Novel hits broadly affect innate inflammatory responses to microbial stimuli.
SerpinB2 deficiency is associated with delayed mammary tumor development and decreased pro-tumorigenic macrophage polarization,Yin Ji Piao; Hoe Suk Kim; Hyelim Kim; Jun Shen; Woo Kyung Moon,Matched: SerpinB2 expression is not detected in tumors of PyMTSB2−/− mice,cat /papers/PMC11221169/content.lines --lines 48-49,2024-07-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11221169/,"SerpinB2 deficiency was studied in a mouse model of breast cancer. Its absence delayed tumor development and metastasis, and shifted macrophages away from a pro-tumorigenic state."
Tissue-resident macrophage survival depends on mitochondrial function regulated by SerpinB2 in chronic inflammation,Sathish Babu Vasamsetti; Samreen Sadaf; Mohammad A. Uddin; Jixing Shen; Ebin Johny; Awishi Mondal; J...,Matched: SerpinB2 deficiency aggravates inflammation,cat /papers/PMC12902017/content.lines --lines 44-45,2026-02-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12902017/,"How cellular metabolism facilitates tissue-resident macrophage maintenance remains elusive. Here we show that visceral adipose tissue (VAT)-resident macrophages, unlike monocyte-derived macrophages, a"
The Transcription Factor C/EBP-β Mediates Constitutive and LPS-Inducible Transcription of Murine SerpinB2,Ekemini A. Udofa; Brett W. Stringer; Padmaja Gade; Donna Mahony; Marguerite S. Buzza; Dhananjaya V. ...,Matched: Phosphorylation of C/EBP-β at Serine 64 negatively Regulates LPS-stimu,cat /papers/PMC3589482/content.lines --lines 68-69,2013-03-05,https://doi.org/10.1371/journal.pone.0057855,The murine SerpinB2 promoter was analyzed for LPS-inducible regulatory regions. C/EBP-β mediates both constitutive and LPS-induced SerpinB2 transcription.
Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,"Sobia Raza, Mark W. Barnett, Zohar Barnett-Itzhaki, Ido Amit, David A. Hume, Tom C. Freeman",PMC4378362,PMC,2014-08-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378362/,Transcriptomic data was analyzed to understand macrophage activation by inflammatory mediators. The LPS response can be divided into more co-regulated gene subsets than previously thought.
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
A Novel Lipopolysaccharide Recognition Mechanism Mediated by Internalization in Teleost Macrophages,Xin-Jiang Lu; Ying-Jun Ning; He Liu; Li Nie; Jiong Chen,Matched: PaSRB2a mediates the effect of LPS pre-stimulation on pro-inflammatory,cat /papers/PMC6277787/content.lines --lines 199-200,2018-11-27,https://doi.org/10.3389/fimmu.2018.02758,"A teleost scavenger receptor, PaSRB2a, mediates lipopolysaccharide (LPS) internalization and subsequent pro-inflammatory responses. This novel pathway differs from mammalian LPS recognition and involves intracellular receptor interactions."
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
