rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,success,yes,yes,"In rats, as in mice (19), LPS greatly increased (18-fold) expression of the cationic amino acid transporter, Slc7a2, whereas goats were the only large animal species in which SLC7A2 mRNA was detectable (TPM 6) and regulated to any degree by LPS, with an induced level (TPM≈16) still lower than the basal level in the rat (TPM 46).",Cells were treated with LPS from Salmonella enterica serotype Minnesota Re 595 (Sigma-Aldrich) for 7 and 24 h at a final concentration of 100 ng/ml for large animals and 10 ng/ml for rats.,Slc7a2;SLC7A2,LPS;Salmonella,
2,PMC7128890,FOCIS abstract supplement,success,no,no,,,,,
3,PMC12268560,The NF-κB-SLC7A11 axis regulates ferroptosis sensitivity in inflammatory macrophages,success,no,no,,,,,
4,PMC6411972,Characterisation of genes differentially expressed in macrophages by virulent and attenuated Mycobacterium tuberculosisthrough RNA-Seq analysis,success,yes,yes,"Among them, we found that solute carrier family 7 member 2 (Slc7a2) was significantly overexpressed (about 17.4 times) in Ra compared with Rv (Fig. 2B).","To investigate global gene expression patterns and induction of the innate immune response in BMDMs infected with Rv or Ra, we performed genome-wide expression analysis using RNA-Seq.",Slc7a2;SLC7A2;solute carrier family 7 member 2,infected,
5,PMC11112377,Amino acid transporters within the solute carrier superfamily: Underappreciated proteins and novel opportunities for cancer therapy,success,no,no,,,,,
6,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
7,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,success,no,no,,,,,
8,PMC3237590,Cationic Amino Acid Transporter 2 Enhances Innate Immunity during Helicobacter pylori Infection,success,yes,yes,"While iNOS protein expression was induced in infected wild type mice, levels were substantially decreased in infected CAT2−/− mice (Figure 3A).",We also examined changes to macrophages and iNOS after 4 months of infection. We isolated protein from gastric tissue lysates and performed Western blotting to detect iNOS.,Cat2,infected;infection,
9,PMC5526900,l-Arginine Uptake by Cationic Amino Acid Transporter Promotes Intra-Macrophage Survival of Leishmania donovani by Enhancing Arginase-Mediated Polyamine Synthesis,success,yes,yes,"L56: However, from the semi-quantitive PCR data, it was observed that in case of Leishmania infection to THP-1, the expression of CAT-2B transcript was increased by ~2.8-fold in l-arginine-supplemented condition and ~5.8-fold in l-arginine-depleted condition (Figure 2A).",L54: THP-1-derived macrophages and hMDM were cultured in l-arginine-depleted as well as l-arginine-supplemented RPMI media and infected with L. donovani parasite for 48 h.,CAT-2B,infection;infected,
10,PMC4188127,“Of Mice and Men”: Arginine Metabolism in Macrophages,success,no,no,,,,,
11,PMC10412850,Sulfur metabolic response in macrophage limits excessive inflammatory response by creating a negative feedback loop,success,no,no,,,,,
12,PMC12950507,Slc7a11‐Mediated Cystine/Glutamate Antiport Reprograms Macrophage Polarization and Ameliorates Atherosclerosis,success,no,no,,,,,
13,PMC2999609,In Lysinuric Protein Intolerance system y+L activity is defective in monocytes and in GM-CSF-differentiated macrophages,success,no,no,,,,,
14,PMC3507808,A new metabolomic assay to examine inflammation and redox pathways following LPS challenge,success,no,no,,,,,
15,PMC7891337,Frontline Science: LPS‐inducible SLC30A1 drives human macrophage‐mediated zinc toxicity against intracellular Escherichia coli,success,no,no,,,,,
16,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,success,no,no,,,,,
17,PMC2265428,Cationic Amino Acid Transporter-2 Regulates Immunity by Modulating Arginase Activity,success,yes,yes,"L16: Several pro-inflammatory mediators including LPS can regulate the expression of CAT2; thus, it likely functions as the key L-arginine transporter during inflammatory responses.","L76: Cells were stimulated for 16 hr with combinations of IL-4, IL-13, and GMCSF (20 ng/ml), IFN̹ (100 U/mL), or LPS (100 ug/mL)( Peprotech).",Cat2,LPS,
18,PMC5868322,Downregulation of SLC7A7 Triggers an Inflammatory Phenotype in Human Macrophages and Airway Epithelial Cells,success,no,no,,,,,
19,PMC12713647,"Single-cell to pre-clinical evaluation of Trem2, Folr2, and Slc7a7 as macrophage-associated biomarkers for atherosclerosis",success,no,no,,,,,
20,PMC7232099,Solute Carrier Family 37 Member 2 (SLC37A2) Negatively Regulates Murine Macrophage Inflammation by Controlling Glycolysis,success,no,yes,"L21: Interestingly, LPS rapidly increased SLC37A2 protein level in wild-type (WT) bone marrow-derived macrophages (BMDMs) at 1 h.","L22: Figure 1: Deletion of SLC37A2 Promotes Macrophage Pro-Inflammatory Activation (A) SLC37A2 protein expression in WT bone marrow-derived macrophages (BMDMs) treated with 100 ng/mL LPS for 0–48 h, measured by western blotting.",,LPS,yes->no: evidence does not name the gene
21,PMC5788887,Role of SLC7A5 in Metabolic Reprogramming of Human Monocyte/Macrophage Immune Responses,success,no,no,,,,,
22,PMC8702732,Hematopoietic Cell-Specific SLC37A2 Deficiency Accelerates Atherosclerosis in LDL Receptor-Deficient Mice,success,no,no,,,,,
23,PMC6377304,Loss of Solute Carrier Family 7 Member 2 Exacerbates Inflammation-Associated Colon Tumorigenesis,success,yes,yes,"However, there was increased nitric oxide (NO) production (measured as NO2–) in the Slc7a2–/– cells, consistent with the loss of L-Arg availability due to deletion of the SLC7A2 transporter, as we have described in a macrophage cell line with knockdown of Slc7a2[40].","BMmacs were isolated and differentiated from murine femurs as previously described[37], [38], [44]. Differentiated BMmacs were stimulated with classical M1 stimuli, IFN-̳ (200 U/mL) and LPS (100 ng/mL), or M2 stimuli, IL-4 (10 ng/mL) and IL-10 (10 ng/mL), for 24 hours as described[37].",Slc7a2;SLC7A2,LPS,
24,PMC4051248,Expression and Regulation of the Proton-Coupled Oligopeptide Transporter PhT2 by LPS in Macrophages and Mouse Spleen,success,no,no,,,,,
25,PMC11077379,Aberrant Expression of SLC7A11 Impairs the Antimicrobial Activities of Macrophages in Staphylococcus Aureus Osteomyelitis in Mice,success,no,no,,,,,
