rank,paper_id,title,judge_status,answer,evidence,evidence_names,evidence_stimulus,downgraded
1,PMC2394514,Expression analysis of G Protein-Coupled Receptors in mouse macrophages,success,no,"Examples of these include Fzd1, Htr2b, Gpr84 (induced by LPS, Table 3), and P2ry1 and 5 (repressed by LPS, Table 4).",,LPS,yes->no: evidence does not name the gene
2,PMC10357040,Metabolite-sensing GPCRs controlling interactions between adipose tissue and inflammation,success,no,A similar increase in HCA2 expression in response to LPS is also observed in cultured adipocyte models in vitro (66).,,LPS,yes->no: evidence does not name the gene
3,bio_24b6555f70b8,Hydroxycarboxylic acid receptor 2 (HCAR2/GPR109A) expression and signaling promotes the maintenance of an immunoinhibitory retinal environment,success,no,,,,
4,PMC5301212,Activated niacin receptor HCA2 inhibits chemoattractant-mediated macrophage migration via Gβγ/PKC/ERK1/2 pathway and heterologous receptor desensitization,success,no,Figure 1 shows that unstimulated mouse RAW264.7 cells expressed low levels of HCA2 mRNA (Fig. 1A and B) and protein (Fig. 1C and D). The expression was significantly enhanced following stimulation by LPS or IFN-\u03b3 alone.,,LPS,yes->no: evidence does not name the gene
5,PMC3356039,Biological Roles and Therapeutic Potential of Hydroxy-Carboxylic Acid Receptors,success,no,,,,
6,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,,
7,PMC11496569,The hydroxycarboxylic acid receptor HCA2 is required for the protective effect of ketogenic diet in epilepsy,success,no,,,,
8,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,,
9,PMC13253848,Dysregulation of macrophage lipid metabolism underlies intracellular bacterial neuroinvasion,success,no,,,,
10,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,,
11,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,,,,
12,PMC7379312,Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,success,no,,,,
13,PMC12957811,Anti-inflammatory and polarization-modulating effects of Houttuynia cordata in LPS-stimulated RAW264.7 macrophages,success,no,,,,
14,PMC12562522,HCX3 Mitigates LPS-Induced Inflammatory Responses in Macrophages by Suppressing the Activation of the NF-κB Signaling Pathway,success,no,,,,
15,PMC5583376,Expression and anti-inflammatory role of activin receptor-interacting protein 2 in lipopolysaccharide-activated macrophages,success,no,,,,
16,PMC3254936,Lipopolysaccharide alters expression of incretin receptors in monocytic and hepatocytic cell lines,success,no,,,,
17,PMC8784330,Signaling metabolite L-2-hydroxyglutarate activates the transcription factor HIF-1α in lipopolysaccharide-activated macrophages,success,no,,,,
18,PMC10049283,The Regulatory Roles of Ezh2 in Response to Lipopolysaccharide (LPS) in Macrophages and Mice with Conditional Ezh2 Deletion with LysM-Cre System,success,no,,,,
19,PMC7573489,Lactate Suppresses Macrophage Pro-Inflammatory Response to LPS Stimulation by Inhibition of YAP and NF-κB Activation  via  GPR81-Mediated Signaling,success,no,,,,
20,PMC10110401,HuR modulation counteracts lipopolysaccharide response in murine macrophages,success,no,,,,
21,PMC3936424,Methyl p-Hydroxycinnamate Suppresses Lipopolysaccharide-Induced Inflammatory Responses through Akt Phosphorylation in RAW264.7 Cells,success,no,,,,
22,PMC13398632,Lipopolysaccharide uptake is augmented in lipopolysaccharide‐tolerant mouse macrophage‐like cells via increased CD14 expression,success,no,,,,
23,PMC6199307,LncRNA HOTAIR regulates lipopolysaccharide-induced cytokine expression and inflammatory response in macrophages,success,no,,,,
24,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,,,,
25,PMC4655095,Lipopolysaccharide induces a downregulation of adiponectin receptors in-vitro and in-vivo,success,no,,,,
