rank,paper_id,title,judge_status,answer,evidence
1,PMC2195971,Protein Kinase Cε Is Required for Macrophage Activation and Defense Against Bacterial Infection,success,yes,"As macrophages are known to generate NO via the upregulation of the expression of NOS-2, the protein level of NOS-2 was assessed in vitro after the activation of thioglycollate-elicited macrophages by LPS and IFNγ."
2,PMC7905073,Nitric oxide produced by NOS2 copes with the cytotoxic effects of superoxide in macrophages,success,yes,"LPS treatment induced the formation of NOS2, which resulted in NO production in WT and these levels were even higher in SOD1KO macrophages."
3,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,yes,"To capture distinct macrophage subpopulations upon activation with LPS we measured protein expression of three cytokines, TNF, pro-IL-1̢ and IL-6, and one intracellular pro-inflammatory protein NOS2, an enzyme that catalyzes nitric oxide formation."
4,PMC8146495,Lipopolysaccharide-Induced Nitric Oxide and Prostaglandin E2 Production Is Inhibited by Tellimagrandin II in Mouse and Human Macrophages,success,yes,"Pre- or post-treatment with 50 \u03bcM TGII significantly attenuated LPS-induced NOS2 mRNA and protein expression in RAW 264.7 cells (Figure 2B,C)."
5,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,yes,"IL-6 and NOS2 are also up-regulated due to LPS ( Farlik et al., 2010; Tanabe et al., 2010)."
6,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,success,yes,"In rats, as in mice, LPS strongly induced Nos2, the arginine transporter Slc7a2, arginase 1 (Arg1), GTP cyclohydrolase (Gch1), and argininosuccinate synthase (Ass1)."
7,PMC11547330,Selective PPARδ Agonist GW501516 Protects Against LPS-Induced Macrophage Inflammation and Acute Liver Failure in Mice via Suppressing Inflammatory Mediators,success,yes,Treatment with LPS (100 ng/mL) significantly increased both mRNA and protein levels of NOS2 in RAW264.7 cells.
8,PMC4284740,"Pheophytin a Inhibits Inflammation via Suppression of LPS-Induced Nitric Oxide Synthase-2, Prostaglandin E2, and Interleukin-1β of Macrophages",success,yes,"We found that pre-treatment with pheophytin a suppressed lipopolysaccharide (LPS)-induced nitric oxide (NO), prostaglandin E2 (PGE2), and interleukin-1β in RAW 264.7 macrophages. NO synthase-2 (NOS2) and cyclooxygenase-2 (COX-2) expression levels were repressed by pre-treatment with pheophytin a at both the transcriptional and translational levels."
9,PMC5751240,"Lipopolysaccharide-Induced Nitric Oxide, Prostaglandin E2, and Cytokine Production of Mouse and Human Macrophages Are Suppressed by Pheophytin-b",success,yes,"LPS-induced expression of NOS2 protein and mRNA were also repressed in RAW 264.7 cells with pheophytin-b in a dose-dependent manner (p < 0.05; Figure 3A and Figure 4A, respectively)."
10,PMC6920088,Inducible nitric oxide synthase-derived extracellular nitric oxide flux regulates proinflammatory responses at the single cell level,success,yes,"In contrast, in BMDM, LPS alone (18hr) elicited intermediate NO flux which was markedly augmented when combined with IFNγ."
