rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,filtered_out,no,,,
2,PMC7128890,FOCIS abstract supplement,filtered_out,no,,,
3,PMC12268560,The NF-κB-SLC7A11 axis regulates ferroptosis sensitivity in inflammatory macrophages,filtered_out,no,,,
4,PMC6411972,Characterisation of genes differentially expressed in macrophages by virulent and attenuated Mycobacterium tuberculosisthrough RNA-Seq analysis,filtered_out,no,,,
5,PMC11112377,Amino acid transporters within the solute carrier superfamily: Underappreciated proteins and novel opportunities for cancer therapy,filtered_out,no,,,
6,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,filtered_out,no,,,
7,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,filtered_out,no,,,
8,PMC3237590,Cationic Amino Acid Transporter 2 Enhances Innate Immunity during Helicobacter pylori Infection,filtered_out,no,,,
9,PMC5526900,l-Arginine Uptake by Cationic Amino Acid Transporter Promotes Intra-Macrophage Survival of Leishmania donovani by Enhancing Arginase-Mediated Polyamine Synthesis,filtered_out,no,,,
10,PMC4188127,“Of Mice and Men”: Arginine Metabolism in Macrophages,filtered_out,no,,,
11,PMC10412850,Sulfur metabolic response in macrophage limits excessive inflammatory response by creating a negative feedback loop,filtered_out,no,,,
12,PMC12950507,Slc7a11‐Mediated Cystine/Glutamate Antiport Reprograms Macrophage Polarization and Ameliorates Atherosclerosis,filtered_out,no,,,
13,PMC2999609,In Lysinuric Protein Intolerance system y+L activity is defective in monocytes and in GM-CSF-differentiated macrophages,filtered_out,no,,,
14,PMC3507808,A new metabolomic assay to examine inflammation and redox pathways following LPS challenge,filtered_out,no,,,
15,PMC7891337,Frontline Science: LPS‐inducible SLC30A1 drives human macrophage‐mediated zinc toxicity against intracellular Escherichia coli,filtered_out,no,,,
16,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,filtered_out,no,,,
17,PMC2265428,Cationic Amino Acid Transporter-2 Regulates Immunity by Modulating Arginase Activity,filtered_out,no,,,
18,PMC5868322,Downregulation of SLC7A7 Triggers an Inflammatory Phenotype in Human Macrophages and Airway Epithelial Cells,filtered_out,no,,,
19,PMC12713647,"Single-cell to pre-clinical evaluation of Trem2, Folr2, and Slc7a7 as macrophage-associated biomarkers for atherosclerosis",filtered_out,no,,,
20,PMC7232099,Solute Carrier Family 37 Member 2 (SLC37A2) Negatively Regulates Murine Macrophage Inflammation by Controlling Glycolysis,filtered_out,no,,,
21,PMC5788887,Role of SLC7A5 in Metabolic Reprogramming of Human Monocyte/Macrophage Immune Responses,filtered_out,no,,,
22,PMC8702732,Hematopoietic Cell-Specific SLC37A2 Deficiency Accelerates Atherosclerosis in LDL Receptor-Deficient Mice,filtered_out,no,,,
23,PMC6377304,Loss of Solute Carrier Family 7 Member 2 Exacerbates Inflammation-Associated Colon Tumorigenesis,filtered_out,no,,,
24,PMC4051248,Expression and Regulation of the Proton-Coupled Oligopeptide Transporter PhT2 by LPS in Macrophages and Mouse Spleen,filtered_out,no,,,
25,PMC11077379,Aberrant Expression of SLC7A11 Impairs the Antimicrobial Activities of Macrophages in Staphylococcus Aureus Osteomyelitis in Mice,filtered_out,no,,,
