title,authors,id,source,date,url,abstract
"Myometrial‐derived CXCL12 promotes lipopolysaccharide induced preterm labour by regulating macrophage migration, polarization and function in mice",Lijuan Zhang; Ramanaiah Mamillapalli; Shutaro Habata; Molly McAdow; Hugh S. Taylor,Matched: CXCR4 expression in macrophages,cat /papers/PMC9077289/content.lines --lines 64,2022-03-23,https://doi.org/10.1111/jcmm.17252,"This study investigated the role of myometrial CXCL12 in lipopolysaccharide-induced preterm labor in mice. Myometrial CXCL12 promotes preterm labor by regulating macrophage migration and polarization, and blocking this pathway prevents preterm labor."
Differential gene expression in LPS/IFNγ activated microglia and macrophages: in vitro versus in vivo,Christoph D Schmid; Benoit Melchior; Kokoechat Masek; Shweta S Puntambekar; Patria E Danielson; Davi...,Matched: Results,cat /papers/PMC2766614/content.lines --lines 60-62,2009,https://doi.org/10.1111/j.1471-4159.2009.05984.x,"Gene expression of activated microglia and macrophages was compared in vitro and in vivo. In vivo, activated infiltrating macrophages closely resembled activated microglia, suggesting the CNS environment shapes macrophage phenotype."
Proinflammatory macrophages release CXCL5 to regulate T cell function and limit effects of αPD-1 in steatosis-driven liver cancer,Taojian Tu; Handan Hong; Diala Alhousari; Lina He; Mario Alba; Yiwei Gu; Brittney Hua; Phillip Nguye...,Matched: LPS stimulation induces CXCL5 production by liver macrophages,cat /papers/PMC12151196/content.lines --lines 65-67,2025-03-07,https://doi.org/10.1016/j.jhepr.2025.101385,"This study investigated CXCL5's role in steatosis-driven liver cancer and immune checkpoint therapy response. CXCL5 inhibits T cell function and limits anti-PD-1 therapy effectiveness, suggesting it as a therapeutic target."
"CXCL1 : Gene, Promoter, Regulation of Expression, mRNA Stability, Regulation of Activity in the Intercellular Space","Jan Korbecki, Katarzyna Barczak, Izabela Gutowska, Dariusz Chlubek, Irena Baranowska-Bosiacka",PMC8776070,biomedrxiv,2022-01-12,https://doi.org/10.3390/ijms23020792,"This paper reviews the regulation of CXCL1 gene expression and its extracellular activity. It highlights CXCL1's role in inflammation and cancer, and discusses potential therapeutic strategies."
A biomathematical model of immune response and barrier function in mice with pneumococcal lung infection,Sibylle Schirm; Peter Ahnert; Sarah Berger; Geraldine Nouailles; Sandra-Maria Wienhold; Holger Mülle...,Matched: Compartment CXCL1: Chemokine (C-X-C motif) ligand 1 (GROa),cat /papers/PMC7714238/content.lines --lines 54-55,2020-12-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7714238/,A biomathematical model simulates the immune response and barrier function in mice infected with *Streptococcus pneumoniae*. The model accurately predicts outcomes for different antibiotic and C5a-inactivator treatment schedules.
TET1 controls  Cxcl1  induction by DNA demethylation and promotes neutrophil recruitment during acute lung injury,"Kathleen M. Yee, Richard W. Shuai, Bin Liu, Christian A. Huynh, Chao Niu, Hailey R. Lee, Min S. Lee,...",Matched: Tet1  disruption resulted in defective neutrophil recruitment in the L,cat /papers/bio_e45382736c86/content.lines --lines 69-71,2021-09-07,,TET1 controls CXCL1 induction via DNA demethylation in macrophages. This process is crucial for neutrophil recruitment during acute lung injury.
"Transcriptional and translational‐uncoupling in regulation of the CXCL12 and its receptors CXCR4, 7 in THP‐1 monocytes and macrophages",Lu Yu; Liangli Yu; Quynhchi Pham; Thomas T. Y. Wang,Matched: Blocking antibody against CD14 inhibited CXCL12‐related gene expressio,cat /papers/PMC5818454/content.lines --lines 27-28,2017-11-03,https://doi.org/10.1002/iid3.199,"This study examined CXCL12/CXCR4/7 regulation in THP-1 monocytes and macrophages. Differentiation and LPS induce transcriptional and translational uncoupling for CXCR4/7, impacting protein levels and cell migration."
CXCL10/IP-10 Neutralization Can Ameliorate Lipopolysaccharide-Induced Acute Respiratory Distress Syndrome in Rats,Shan Lang; Libing Li; Xuning Wang; Junping Sun; Xinying Xue; Yongjiu Xiao; Mingyue Zhang; Ting Ao; J...,Matched: Neutralization of CXCL10 decreased inflammatory cells recruitment in L,cat /papers/PMC5207674/content.lines --lines 80-82,2017-01-03,https://doi.org/10.1371/journal.pone.0169100,This study investigated CXCL10's role in LPS-induced ARDS in rats. Neutralizing CXCL10 reduced ARDS severity by decreasing inflammation and immune cell infiltration.
Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,Jung-Hee Hong; Young-Cheol Lee,Matched: 3.3.1. Modulatory Effects of CP and OA Treatments on mRNA Gene Express,cat /papers/PMC9225349/content.lines --lines 78-80,2022-06-08,https://doi.org/10.3390/life12060857,Cicadidae periostracum (CP) and oleic acid (OA) extracts were studied for anti-inflammatory effects in LPS-induced lung inflammation. Both CP and OA significantly inhibited inflammatory chemokines and cytokines by suppressing key signaling pathways.
LKB1‐MARK2 signalling mediates lipopolysaccharide‐induced production of cytokines in mouse macrophages,Jie Deng; Chunmei Wen; Xiangyu Ding; Xi Zhang; Guoqing Hou; Andong Liu; Hui Xu; Xuan Cao; Yongheng B...,Matched: MARK2 phosphorylation on LPS‐induced CXCL15 production,cat /papers/PMC7576310/content.lines --lines 71-72,2020-08-25,https://doi.org/10.1111/jcmm.15710,High-throughput phosphoproteomics identified novel mediators of LPS-induced signaling in mouse macrophages. LKB1-MARK2 signaling was found to regulate the production of key inflammatory cytokines.
Prevention of lipopolysaccharide-induced preterm labor by the lack of CX3CL1-CX3CR1 interaction in mice,Mika Mizoguchi; Yuko Ishida; Mizuho Nosaka; Akihiko Kimura; Yumi Kuninaka; Tamaki Yahata; Sakiko Nan...,Matched: CX3CL1 and CX3CR1 expression in murine gestational tissues after LPS i,cat /papers/PMC6219809/content.lines --lines 72-73,2018-11-06,https://doi.org/10.1371/journal.pone.0207085,This study investigated the role of the CX3CL1-CX3CR1 axis in a mouse model of preterm labor. The CX3CL1-CX3CR1 interaction promotes preterm labor by recruiting inflammatory macrophages.
Advanced glycation end-products reduce lipopolysaccharide uptake by macrophages,Atsuhiro Kitaura; Takashi Nishinaka; Shinichi Hamasaki; Omer Faruk Hatipoglu; Hidenori Wake; Masahir...,Matched: The involvement of CD14 in LPS uptake by RAW264.7 cells,cat /papers/PMC7833212/content.lines --lines 47-50,2021-01-25,https://doi.org/10.1371/journal.pone.0245957,Advanced glycation end-products (AGEs) were studied for their effect on lipopolysaccharide (LPS) uptake by macrophages. AGEs reduce LPS uptake by downregulating CD14 expression via the receptor for AGEs (RAGE).
