rank,paper_id,title,judge_status,answer,evidence,evidence_names,evidence_stimulus,downgraded
1,PMC4188127,“Of Mice and Men”: Arginine Metabolism in Macrophages,success,yes,Sel-enomethionine ↓LPS-induced NOS2 expression (RNA and protein) and nitrite production,Nos2,LPS,
2,PMC7905073,Nitric oxide produced by NOS2 copes with the cytotoxic effects of superoxide in macrophages,success,yes,"While the NOS2 protein was barely detected in cells that had been cultivated in conventional media, LPS stimulation induced NOS2 expression in WT and SOD1KO macrophages but not in NOS2KO or DKO macrophages (Fig. 2A).",Nos2,LPS,
3,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,success,yes,"In rats, as in mice, LPS strongly induced Nos2, the arginine transporter Slc7a2, arginase 1 (Arg1), GTP cyclohydrolase (Gch1), and argininosuccinate synthase (Ass1).",Nos2,LPS,
4,PMC8146495,Lipopolysaccharide-Induced Nitric Oxide and Prostaglandin E2 Production Is Inhibited by Tellimagrandin II in Mouse and Human Macrophages,success,yes,"Pre- or post-treatment with 50 ΓΔM TGII significantly attenuated LPS-induced NOS2 mRNA and protein expression in RAW 264.7 cells (Figure 2B,C).",Nos2,LPS,
5,PMC7851796,Dataset on the differentiation of THP-1 monocytes to LPS inducible adherent macrophages and their capacity for NO/iNOS signaling,success,no,,,,
6,PMC4049611,A Defective TLR4 Signaling for IFN-β Expression Is Responsible for the Innately Lower Ability of BALB/c Macrophages to Produce NO in Response to LPS as Compared to C57BL/6,success,yes,"We showed by Western blot that LPS induces a strong expression of iNOS (130 kDa) (Fig. 3A) in C57BL/6 macrophages, detected as early as 6 h (Fig. 3B).",iNOS,LPS,
7,PMC12592619,Neutrophilic granule protein promotes lipopolysaccharide-induced iNOS/NO expression via JAK2/STAT1 signaling pathway and augments bacteria clearance of macrophages,success,yes,"The results showed that 220 DEGs were upregulated in response to LPS challenge, among which the expression level of iNOS gene (Nos2) was significantly elevated (Fig. 1A).",Nos2;iNOS,LPS,
8,PMC4284740,"Pheophytin a Inhibits Inflammation via Suppression of LPS-Induced Nitric Oxide Synthase-2, Prostaglandin E2, and Interleukin-1β of Macrophages",success,yes,"The LPS-induced expression of the NOS2 gene was also repressed by pre-treatment with pheophytin a in a dose-dependent manner, including its protein (Figure 2C) and mRNA levels (Figure 2D).",Nos2,LPS,
9,PMC2365621,Modulation of nitric oxide synthase activity in macrophages,success,no,Dexamethasone blocks the interferon-gamma-mediated downregulation of the macrophage mannose receptor. Arch Biochem Biophys 1994; 31:: 367-374.,,,yes->no: evidence does not name the gene
10,PMC3891534,Anti-Inflammatory Cytokine Interleukin-4 Inhibits Inducible Nitric Oxide Synthase Gene Expression in the Mouse Macrophage Cell Line RAW264.7 through the Repression of Octamer-Dependent Transcription,success,no,"Stimulation with LPS alone strongly induced luciferase activity; IL-4 also inhibited the LPS-induced luciferase activity, though the magnitude of the inhibition was smaller than that of the IFNγ-induced luciferase activity.",,LPS,yes->no: evidence does not name the gene
11,PMC1698482,Inhibition of inducible Nitric Oxide Synthase by a mustard gas analog in murine macrophages,success,yes,"Control RAW 264.7 macrophages had no detectable iNOS protein, CEES treatment alone did not induce any iNOS protein but LPS (10 ng/ml for 24 hours) produced a marked induction of iNOS protein.",iNOS,LPS,
12,PMC10898816,Internal ribosomal entry site-mediated translational activity of nitric oxide synthase 2,success,yes,"When LPS was introduced into the neuroblastoma cell line Neuro-2a, nitrite levels, the oxidative form of the NOS2 product nitric oxide, increased (Figure 4A).",Nos2,LPS,
13,PMC9368968,Hypoxia Aggravates Inhibition of Alveolar Epithelial Na-Transport by Lipopolysaccharide-Stimulation of Alveolar Macrophages,success,yes,"Figure 2A,B show that LPS treatment increased iNOS mRNA levels in mono-cultures of macrophages and of rA2 cells.",iNOS,LPS,
