title,authors,id,source,date,url,abstract
Expression analysis of G Protein-Coupled Receptors in mouse macrophages,Jane E Lattin; Kate Schroder; Andrew I Su; John R Walker; Jie Zhang; Tim Wiltshire; Kaoru Saijo; Chr...,Matched: LPS-regulated GPCR expression in mouse macrophages,cat /papers/PMC2394514/content.lines --lines 134-162,2008-04-29,https://doi.org/10.1186/1745-7580-4-5,"This study analyzed GPCR expression in mouse macrophages, comparing it to other cell types and LPS-stimulated macrophages. Several P2RY family members showed macrophage-specific expression or LPS-regulated changes, suggesting roles in macrophage biology and inflammation."
Metabolite-sensing GPCRs controlling interactions between adipose tissue and inflammation,Elaine M. Duncan; Luca Vita; Bethany Dibnah; Brian D. Hudson,Matched: Hydroxyl carboxylic acid receptors,cat /papers/PMC10357040/content.lines --lines 25-27,2023-07-06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10357040/,"This paper reviews metabolite-sensing GPCRs in adipose tissue and their role in inflammation. These receptors, activated by fatty acids, hydroxy carboxylic acids, and succinate, are critical for metabolic-immune interactions."
Hydroxycarboxylic acid receptor 2 (HCAR2/GPR109A) expression and signaling promotes the maintenance of an immunoinhibitory retinal environment,"Folami L. Powell, Amany Tawfik, Pachiappan Arjunan, Deeksha Gambhir Chopra, Mohamed Al-Shabrawey, Na...",Matched: Lipopolysaccharide (LPS)-induced uveitis,cat /papers/bio_24b6555f70b8/content.lines --lines 56,2021-03-15,,"HCAR2/GPR109A expression was studied in retinal cells and its role in immune regulation investigated. HCAR2/GPR109A activation promotes an immunoinhibitory retinal environment, potentially protecting against degenerative diseases."
Activated niacin receptor HCA2 inhibits chemoattractant-mediated macrophage migration via Gβγ/PKC/ERK1/2 pathway and heterologous receptor desensitization,Ying Shi; Xiangru Lai; Lingyan Ye; Keqiang Chen; Zheng Cao; Wanghua Gong; Lili Jin; Chunyan Wang; Mi...,Matched: LPS-induced acute endotoxemia in mice,cat /papers/PMC5301212/content.lines --lines 56-57,2017-02-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5301212/,"Activated niacin receptor HCA2 was studied in macrophages to understand its role in inflammation. Niacin inhibits macrophage migration via Gβγ/PKC/ERK1/2 signaling and receptor desensitization, protecting against septic shock."
Biological Roles and Therapeutic Potential of Hydroxy-Carboxylic Acid Receptors,Kashan Ahmed,Matched: Conclusion and Future Perspectives,cat /papers/PMC3356039/content.lines --lines 83-84,2011-10-25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3356039/,Hydroxy-carboxylic acid receptors (HCARs) are activated by metabolic intermediates and expressed in adipose tissue. They regulate lipolysis and represent promising therapeutic targets for metabolic diseases.
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",PMC6543837,Frontiers in Immunology,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
The hydroxycarboxylic acid receptor HCA2 is required for the protective effect of ketogenic diet in epilepsy,Jill C. Richardson; Guy A. Higgins; Neil Upton; Peter Massey; Mark Cunningham; Steve Wilson; Joerg H...,PMC11496569,PMC,2024-10-22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11496569/,"This study investigated the role of the HCA2 receptor in the ketogenic diet's anti-seizure effects. The HCA2 receptor is essential for the diet's protective benefits, suggesting it's a potential therapeutic target for epilepsy."
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: Study overview,cat /papers/PMC13372918/content.lines --lines 49-52,2026-07-15,https://doi.org/10.1007/s00011-026-02317-3,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
Dysregulation of macrophage lipid metabolism underlies intracellular bacterial neuroinvasion,Zhou Sha; Kun Yang; Shoupeng Fu; Xiaoyong Tong; Hui Yang; Huiling Fang; Qianqian He; Ning Li; Xinyu ...,Matched: BHB promotes the survival of macrophages via HCAR2-mediated calcium in,cat /papers/PMC13253848/content.lines --lines 49-50,2026-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13253848/,"Acute central nervous system infection is highly lethal, yet the mechanisms by which intracellular bacteria infiltrate the brain remain unclear. Phagocytes are central to host defense, but how infecte"
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,Chenming Wu; Ang Li; Jian Hu; Jiuhong Kang,Matched: LPS stimulation of macrophages induces HDAC2 expression,cat /papers/PMC7379312/content.lines --lines 16-17,2018-10-31,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7379312/,"Histone deacetylase 2 (HDAC2) is essential for LPS-induced inflammatory responses in macrophages. HDAC2 regulates these responses by deacetylating c-Jun, which then represses pro-inflammatory gene transcription."
Anti-inflammatory and polarization-modulating effects of Houttuynia cordata in LPS-stimulated RAW264.7 macrophages,Kuo-Liang Huang; Mei-Chen Yang; Yao-Kuang Wu; Meng-Jiun Wei; Hsiu-Fan Kang; Guan-Ting Liu; Chan-Yen ...,Matched: HC attenuates M1 surface marker expression in LPS-stimulated RAW264.7,cat /papers/PMC12957811/content.lines --lines 68-69,2025-05-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12957811/,"Houttuynia cordata extract reduces inflammatory cytokine production and modulates key signaling pathways in LPS-stimulated macrophages. It also shifts macrophages towards an anti-inflammatory phenotype, particularly when administered after inflammation begins. These findings suggest therapeutic potential for inflammatory diseases."
HCX3 Mitigates LPS-Induced Inflammatory Responses in Macrophages by Suppressing the Activation of the NF-κB Signaling Pathway,Qianyi Wu; Jiyuan Shi; Luojin Wu; Lingxi Li; Yong Ling; Liming Mao; Jie Zhang,Matched: 3.2. The Effect of HCX3 on Cell Viability of Macrophages,cat /papers/PMC12562522/content.lines --lines 43,2025-10-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12562522/,"HCX3, a novel canthin-6-one derivative, was studied for its effects on LPS-induced inflammation in macrophages. HCX3 suppressed pro-inflammatory mediator release and NF-κB pathway activation, suggesting therapeutic potential for acute lung injury."
Lipopolysaccharide alters expression of incretin receptors in monocytic and hepatocytic cell lines,H Daabo; I Welters; J Gallagher; L Ranganath,Matched: Methods,cat /papers/PMC3254936/content.lines --lines 13,2010-09-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3254936/,
Signaling metabolite L-2-hydroxyglutarate activates the transcription factor HIF-1α in lipopolysaccharide-activated macrophages,Niamh C. Williams; Dylan G. Ryan; Ana S.H. Costa; Evanna L. Mills; Mark P. Jedrychowski; Suzanne M. ...,PMC8784330,PMC,2021-12-17,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8784330/,"L-2-hydroxyglutarate (L-2HG) accumulation in LPS-activated macrophages was studied. L-2HG activates HIF-1α, promoting inflammatory responses and metabolic changes."
The Regulatory Roles of Ezh2 in Response to Lipopolysaccharide (LPS) in Macrophages and Mice with Conditional Ezh2 Deletion with LysM-Cre System,Areerat Kunanopparat; Asada Leelahavanichkul; Peerapat Visitchanakun; Patipark Kueanjinda; Pornpimol...,Matched: 5. Conclusions,cat /papers/PMC10049283/content.lines --lines 52-54,2023-03-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10049283/,This study investigated the role of Ezh2 in macrophage responses to LPS. Loss of Ezh2 in macrophages leads to less severe LPS-induced inflammation and reduced LPS tolerance.
Lactate Suppresses Macrophage Pro-Inflammatory Response to LPS Stimulation by Inhibition of YAP and NF-κB Activation  via  GPR81-Mediated Signaling,"Kun Yang, Jingjing Xu, Min Fan, Fei Tu, Xiaohui Wang, Tuanzhu Ha, David L. Williams, Chuanfu Li",PMC7573489,biomedrxiv,2020-10-06,https://doi.org/10.3389/fimmu.2020.587913,Lactate was studied for its effect on LPS-stimulated macrophages. Lactate suppresses pro-inflammatory responses by inhibiting YAP and NF-κB activation via GPR81 signaling.
HuR modulation counteracts lipopolysaccharide response in murine macrophages,Isabelle Bonomo; Giulia Assoni; Valeria La Pietra; Giulia Canarutto; Elisa Facen; Greta Donati; Chia...,Matched: TM7nox reduces inflammatory and chemotaxis response induced by LPS in,cat /papers/PMC10110401/content.lines --lines 35-36,2023-03-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10110401/,Small-molecule tanshinone mimics were shown to inhibit the RNA-binding protein HuR in macrophages. These mimics counteracted LPS-induced inflammation by reducing the expression of key immune response genes.
