rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC2213356,Complementation of Lymphotoxin α Knockout Mice with Tumor Necrosis Factor–expressing Transgenes Rectifies Defective Splenic Structure and Function,success,yes,yes,"Compared with background-matched wild-type control mice, LṮ knockout mice show severely reduced accumulation of TNF protein in both sera and macrophage exudates (Fig. 4), indicating that in addition to the LṮ null mutation, this strain of mice may show further complications due to inherent defects in the neighboring TNF gene expression.","Thioglycollate-elicited peritoneal macrophages from LṮ−/− (n = 4) mice and wild-type (n = 3) controls were stimulated with 1 ̱g/ml LPS for 24 h, and supernatants from individual cultures were assayed for the presence of TNF.",Tnf,LPS,
2,PMC3654183,Antagonism of the histamine H4 receptor reduces LPS-induced TNF production in vivo,success,yes,yes,"L12: The TNF mRNA analysis showed that the major source of the cytokine was the liver and not blood, and that the H4R antagonist only reduced the expression levels in the liver.","L28: Two hours post LPS injection, animals were euthanized and blood collected via cardiac puncture.",Tnf,LPS,
3,PMC6990626,Transmembrane TNFα-Expressed Macrophage Membrane-Coated Chitosan Nanoparticles as Cancer Therapeutics,success,yes,yes,"The gel image (Figure 2C) revealed a distinct band corresponding to transmembrane TNFα around 750 bp in 100 ng/mL LPS-treated macrophages, while there was no amplification in the untreated ones.","The gel image (Figure 2C) revealed a distinct band corresponding to transmembrane TNFα around 750 bp in 100 ng/mL LPS-treated macrophages, while there was no amplification in the untreated ones.",Tnf,LPS,
4,PMC2119110,Macrophage priming and lipopolysaccharide-triggered release of tumor necrosis factor alpha during graft-versus-host disease,success,yes,yes,"L141-L144: In acute GVH-reactive mice, injection of LPS 7 d after transplantation induced serum TNF levels of 14,759 U/ml.","L139-L140: To determine whether TNF was produced in response to LPS and also to induce maximal TNF release, animals were injected intravenously with 25 /g of LPS and bled 2 h later (Table 4).",Tnf,LPS,
5,PMC2190891,Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages,success,yes,yes,"This representative experiment indicates that a concentration of 10 ng/ml of S-LPS is the threshold for effective stimulation of macrophages as assessed by either TNF-alpha or NO production, whereas significant responses were always observed with approximately 100 ng/ml S-LPS.","To characterize the properties of primary LPS-induced downregulation of subsequent LPS-stimulated macrophage responses, it is important to define both the minimum and the optimal concentrations of LPS required for TNF-alpha and NO production.",Tnf;TNF-alpha,LPS,
6,PMC2190998,"Extinction of the tumor necrosis factor locus, and of genes encoding the lipopolysaccharide signaling pathway",success,yes,yes,"On the other hand, both LPS and cycloheximide readily induced TNF gene expression in RAW 264.7 cells (Fig. 2).","Cells were either not induced (O), or induced for 2 h using 1 #g/ml LPS (L), or 100/~g/ml cycloheximide (C).",Tnf,LPS,
7,PMC6234144,LPS‐stimulated NF‐κB p65 dynamic response marks the initiation of TNF expression and transition to IL‐10 expression in RAW 264.7 macrophages,success,yes,yes,"After 1-h of LPS stimulation, TNF̑α mRNA expression increased (7.0-fold) significantly (Fig. 3A).","RAW 264.7 cells were either Mock-treated or treated with LPS (10 ng/mL) for 15 min, 30 min, 45 min, 1, 2, 4, 6, 10, 16, 24, 48, and 72 h, after which lysates and conditioned growth media was harvested.",Tnf,LPS,
8,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,yes,yes,"Notably, the percentage of TNF-positive BMDMs peaked at 4h post stimulation, demonstrating a faster TNF response in BMDMs in comparison to RAW264.7 cells.","Pie charts represent the community composition at 8, 12 and 16 hours post stimulus with the indicated doses of LPS for BMDMs.",Tnf,LPS,
9,PMC4575053,AS-703026 Inhibits LPS-Induced TNFα Production through MEK/ERK Dependent and Independent Mechanisms,success,yes,yes,"LPS treatment (100 ng/mL) in BMDMs induced significant TNF̕a production, which was remarkably inhibited by AS-703026 (10–250 nM) co-treatment","Murine BMDMs were treated with LPS (100 ng /mL), or plus indicated concentrations of AS-703026, TNF̕a content in conditional medium (C, after 24 h) and relative TNF̕a mRNA expression in the BMDM cells (D, after 8 h) were tested.",Tnf,LPS,
10,PMC10949775,Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,success,yes,yes,"LPS rapidly increased mRNA levels of TNF by 12, 71, 82, 196, 311, 113 and 215 fold after 5, 10, 20, 50, 100, 500 and 1000 ng/mL treatment for 2 h, respectively (Fig. 3A).",RAW264.7 macrophages were treated with LPS for 2–24 h.,Tnf,LPS,
11,PMC5918604,Augmentation and Suppression of Release of Tumor Necrosis Factor from Macrophages by Negatively Charged Phospholipids,success,yes,yes,"Ten to 20 μg/ml of cardiolipin, which is a suboptimal concentration for macrophage growth‐stimulation, augmented macrophage TNF release triggered by lipopolysaccharide (LPS) in vitro.",,Tnf,lipopolysaccharide;LPS,
