rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC7883330,CCR5 signaling promotes lipopolysaccharide-induced macrophage recruitment and alveolar developmental arrest,success,yes,yes,"IL-1̠b levels in rat lungs were increased in the LPS injection group by 2.5-fold, 3.2-fold, and 4.8-fold at P1, P3, and P7, respectively (Fig. 2a).",Pregnant rats were injected with LPS or saline in the amniotic sac at E16.5.,IL-1B;IL-1beta,LPS,
2,PMC12877074,IL-1β+ lung-resident macrophages mediate endothelial dysfunction and acute lung injury in sepsis through immune-metabolic crosstalk,success,yes,yes,"RT-qPCR and WB analyses confirmed a marked elevation of IL-1β mRNA and protein levels in the LPS group compared with controls, whereas both were significantly reduced in the LPS + sh-IL-1β group relative to the LPS + sh-NC group (Fig. 7A, B).","Sepsis was induced by intraperitoneal injection of lipopolysaccharide (LPS, 4 mg/kg, L5293, Sigma), while controls received sterile saline.",IL-1B;IL-1beta,LPS;Sepsis;lipopolysaccharide,
3,PMC3735524,GATA-2 Transduces LPS-Induced il-1β Gene Expression in Macrophages via a Toll-Like Receptor 4/MD88/MAPK-Dependent Mechanism,success,yes,yes,"L49: Exposure of RAW 264.7 cells to 100 ng/ml LPS for 1, 3, and 6 h caused significant 18-, 23-, and 23-fold inductions of IL-1β mRNA, respectively (Figure 1A).",L50: Figure 1: Effects of lipopolysaccharide (LPS) on the expression of interleukin (IL)-1β mRNA and protein as well as translocation of transcription factors.,IL-1B;IL-1beta,LPS;lipopolysaccharide,
4,PMC5895696,Macrophage-derived IL-1β/NF-κB signaling mediates parenteral nutrition-associated cholestasis,success,yes,yes,Intraperitoneal injection of 2.5 mg/kg LPS into WT mice resulted in increased Il1b transcription in both liver and isolated IHMCs (Fig. 2j) coinciding with suppression of hepatic Abcb11 and Abcc2 mRNA (Fig. 2k).,"C57BL/6 WT adult male mice (8 weeks old, 22–23 g body weight, identical to the criteria used for PN mice above) (Jackson Laboratories, Bar Harbor, ME, USA) were injected i.p. with 2.5 mg/kg LPS (from Escherichia coli 0111:B4; Sigma Aldrich, St. Louis, MO, USA) or with 200 ng/mouse recombinant mouse IL-1β (BD Biosciences, San Jose, CA, USA) before sacrifice 4 h later.",Il1b;IL-1B;IL-1beta;IL1B,LPS;Escherichia,
5,PMC10798930,The Bisdioxopiperazine ICRF-193 Attenuates LPS-induced IL-1β Secretion by Macrophages,success,yes,yes,"When co-incubated with LPS, which polarizes the cells towards the M1 phenotype, more Il-1β secretion is noted in line with previous studies [53, 54].",Cells were seeded at a density of 3 × 105/ml with 8 nM PMA alone or 8 nM PMA and 1 ng/ml LPS for 72 h before the supernatant was harvested.,IL-1B;IL-1beta,LPS,
6,PMC7733482,D-mannose suppresses macrophage IL-1β production,success,yes,yes,Such sugar decreased LPS-induced Il1b gene expression dose dependently (Fig. 1a and Supplementary Fig. 1A).,a qPCR analysis of IL-1β mRNA levels in resting and LPS-activated BMDMs cultured for 24 h in the presence or absence of the indicated concentrations of mannose in RPMI medium containing 11 mM glucose.,Il1b;IL-1B;IL-1beta;IL1B,LPS,
7,PMC12682978,Interleukin-1β Secretion by Macrophages in Patients with Colorectal Cancer in Relation to the Clinicopathological Characteristics of the Disease,success,yes,yes,"In patients with CRC extending beyond the muscularis propria, macrophages demonstrated elevated IL-1β secretion upon first LPS stimulation (30.33 [16.74-44.20] pg/mL vs limited to the muscularis propria 15.39 [8.358-25.52] pg/mL) (Table 5).","For each peripheral blood monocyte sample, cells were cultured in three separate wells: one without lipopolysaccharide (Lipopolysaccharides from Escherichia coli 0111:B4 (LPS) (Sigma-Aldrich, the USA)) and two with LPS added at a final concentration of 100 ng/mL.",IL-1B;IL-1beta,LPS;lipopolysaccharide;Lipopolysaccharides;Escherichia,
8,PMC5241476,Regular Voluntary Exercise Potentiates Interleukin-1β and Interleukin-18 Secretion by Increasing Caspase-1 Expression in Murine Macrophages,success,yes,yes,The mRNA levels of IL-1β and IL-18 in macrophages significantly increased after LPS stimulation for 6 h; the levels were not significantly different between the SC and VE mice (Figures 4(a) and 4(b)).,Peritoneal-exudate macrophages isolated from the sedentary control (SC) and VE mice were cultured for 6 h in the presence or absence of 100 ng/mL LPS.,IL-1B;IL-1beta,LPS,
9,PMC4985817,TLR4-Upregulated IL-1β and IL-1RI Promote Alveolar Macrophage Pyroptosis and Lung Inflammation through an Autocrine Mechanism,success,yes,yes,"Figure 2C shows that LPS markedly increased IL-1β level in the BALF from the WT mice in a time-dependent manner, and this effect of LPS was largely aborted in Nlrp3−/− mice.",WT (C57BL/6) mice and Nlrp3−/− mice were intratracheally injected with LPS (1 mg/kg B.W. in 0.2 ml of saline) using Micro Sprayer Syringe.,IL-1B;IL-1beta,LPS,
10,PMC2989768,IκBβ is an essential co-activator for LPS-induced IL-1β transcription in vivo,success,yes,yes,"As expected, the serum levels of these cytokines were significantly increased upon LPS treatment in WT mice (Fig. 3 A).","To determine whether increased resistance to endotoxic shock in IΗB̧̧β−/− mice was caused by decreased proinflammatory cytokines, we measured serum concentration of inflammatory cytokines TNF, IL-1β, and IL-6 after LPS challenge.",IL-1B;IL-1beta,LPS;endotoxic,
11,PMC4156420,Flavonoid Apigenin Inhibits Lipopolysaccharide-Induced Inflammatory Response through Multiple Mechanisms in Macrophages,success,yes,yes,"As shown in Fig.4, LPS markedly increased mRNA levels of IL-1̧b, IL-6 and TNF-̥alpha in human THP-1-derived macrophages, which were completely inhibited by apigenin in a dose-dependent manner.","Cells were pretreated with different concentrations of apigenin (A, 6.25, 12.5,25 M) for 2 h, then treated with LPS (100 ng/mL) for 24 hours.",IL-1B;IL-1beta,LPS,
12,PMC6375194,Responses of perivascular macrophages to circulating lipopolysaccharides in the subfornical organ with special reference to endotoxin tolerance,success,yes,yes,"One hour after LPS injection, enhanced expression of IL-1β was observed in the SFO.","Cryosections were immunostained with antibodies against IL-1β, the myeloid lineage cell marker Iba1, the outer basement membrane marker laminin-111, the astrocyte marker GFAP, and LPS.",IL-1B;IL-1beta,LPS,
13,PMC5761659,Inhibition of IκBβ/NFκB signaling prevents LPS-induced IL1β expression without increasing apoptosis in the developing mouse lung,success,yes,yes,"In cultured macrophages, pharmacologic and genetic inhibition of LPS-induced IͱB̢/NFͱB signaling significantly attenuated IL1β mRNA and protein expression.","Cells were exposed to LPS (1 μg/ml, Sigma L6529).",Il1b;IL1B,LPS,
